,0,OFFENCE,DAYS_SINCE
1236,54,9,383.0
1237,78,1,305.0
1238,95,9,383.0
1239,0,9,383.0
1240,36,1,383.0
1241,17,9,383.0
1242,18,5,383.0
1243,97,9,383.0
1244,26,9,383.0
1245,69,9,383.0
1246,73,1,383.0
1247,68,9,383.0
1248,43,9,383.0
1249,7,9,383.0
1250,44,9,383.0
1251,13,9,383.0
1252,96,9,383.0
1253,40,9,380.0
1254,30,1,383.0
1255,69,9,383.0
1256,17,9,48.0
1257,66,9,383.0
1258,57,9,383.0
1259,17,9,383.0
1260,50,1,383.0
1261,25,9,383.0
1262,17,9,383.0
1263,64,9,383.0
1264,27,9,383.0
1265,27,9,383.0
1266,96,9,383.0
1267,60,9,383.0
1268,81,1,301.0
1269,54,9,383.0
1270,70,9,383.0
1271,65,9,383.0
1272,0,1,383.0
1273,92,9,383.0
1274,65,9,383.0
1275,49,9,383.0
1276,73,9,383.0
1277,17,9,383.0
1278,85,1,383.0
1279,38,9,383.0
1280,9,1,383.0
1281,14,10,383.0
1282,75,5,383.0
1283,95,9,-225.0
1284,39,9,384.0
1285,60,5,383.0
1286,0,9,384.0
1287,0,9,384.0
1288,5,9,383.0
1289,75,1,381.0
1290,56,10,381.0
1291,68,9,-3284.0
1292,80,9,384.0
1293,63,1,383.0
1294,2,1,383.0
1295,5,1,383.0
1296,24,1,383.0
1297,91,1,384.0
1298,14,1,383.0
1299,94,1,383.0
1300,0,1,384.0
1301,37,1,384.0
1302,31,1,384.0
1303,67,9,274.0
1304,72,9,384.0
1305,80,9,384.0
1306,66,9,384.0
1307,7,10,368.0
1308,18,5,384.0
1309,18,9,384.0
1310,52,9,384.0
1311,5,9,384.0
1312,13,1,384.0
1313,0,9,384.0
1314,24,9,384.0
1315,0,9,384.0
1316,4,1,384.0
1317,65,5,384.0
1318,9,9,384.0
1319,54,5,384.0
1320,25,1,384.0
1321,93,9,384.0
1322,19,9,384.0
1323,23,5,384.0
1324,69,9,384.0
1325,17,9,384.0
1326,84,9,384.0
1327,30,1,384.0
1328,57,5,384.0
1329,64,9,384.0
1330,0,5,384.0
1331,56,9,384.0
1332,0,9,384.0
1333,33,9,384.0
1334,36,9,384.0
1335,71,9,384.0
1336,74,9,384.0
1337,6,5,384.0
1338,66,9,384.0
1339,94,9,384.0
1340,60,10,383.0
1341,36,5,383.0
1342,92,9,370.0
1343,68,1,383.0
1344,25,1,383.0
1345,47,9,383.0
1346,83,9,-943.0
1347,13,9,384.0
1348,18,9,385.0
