,0
2889,49
2890,8
2891,66
2892,18
2893,73
2894,1
2895,8
2896,26
2897,0
2898,71
2899,97
2900,80
2901,86
2902,78
2903,57
2904,43
2905,25
2906,98
2907,78
2908,52
2909,51
2910,51
2911,28
2912,18
2913,96
2914,97
2915,37
2916,1
2917,65
2918,56
2919,64
2920,56
2921,12
2922,34
2923,9
2924,78
2925,0
2926,77
2927,47
2928,13
2929,54
2930,9
2931,82
2932,10
2933,95
2934,54
2935,87
2936,28
2937,31
2938,74
2939,60
2940,7
2941,95
2942,73
2943,27
2944,17
2945,89
2946,50
2947,80
2948,64
2949,65
2950,28
2951,7
2952,54
2953,91
2954,3
2955,38
2956,31
2957,25
2958,46
2959,44
2960,44
2961,51
2962,9
2963,22
2964,30
2965,31
2966,85
2967,59
2968,53
2969,17
2970,71
2971,24
2972,57
2973,91
2974,67
2975,93
2976,70
2977,97
2978,42
2979,49
2980,85
2981,31
2982,6
2983,52
2984,84
2985,77
2986,52
2987,25
2988,34
2989,39
2990,60
2991,72
2992,73
2993,94
2994,33
2995,12
